word_id,aspect,partner
44185,imperfective,отыскаться
44186,perfective,-
44187,imperfective,отяготить
44188,imperfective,отягчи'ть
44190,imperfective,отяжели'ть
44197,perfective,офранцуживать
44204,imperfective,-
44212,imperfective,охлади'ться
44217,imperfective,охмурить
44218,imperfective,-
44221,perfective,-
44224,imperfective,оцепить
44226,imperfective,оцинкова'ть
44229,imperfective,очаровать
44234,imperfective,очерстви'ть
44235,perfective,-
44236,imperfective,очертить
44238,imperfective,очесать
44246,imperfective,ошарашить
44247,perfective,швартова'ть
44248,perfective,швартоваться
44252,perfective,ошикивать
44254,imperfective,ошпарить
44255,imperfective,ошпа'риться
44257,imperfective,ощетиниться
44258,imperfective,ощипать
44276,both,
44286,both,
44334,imperfective,-
44390,both,
44393,both,
44452,both,
44461,perfective,запатентовать
44475,imperfective,-
44477,imperfective,-
44487,imperfective,спа'хтать
44492,imperfective,вы'пачкаться
44500,imperfective,
44517,imperfective,запеленать
44527,imperfective,вспе́нить
44564,imperfective,переадресова'ть
44566,imperfective,переаттестова'ть
44567,perfective,-
44569,imperfective,перебаллоти'ровать
44570,imperfective,переборщи'ть
44572,perfective,перебе́ливать
44574,imperfective,перебинтовать
44576,imperfective,-
44577,perfective,-
44578,perfective,перебу'живать
44580,imperfective,
44582,imperfective,переверстать
44584,imperfective,переверну'ться
44586,imperfective,перевесить
44587,imperfective,переви'ть
44588,imperfective,переви'ться
44589,perfective,-
44590,imperfective,переврать
44592,perfective,-
44593,perfective,-
44594,imperfective,перевооружи'ть
44595,imperfective,перевооружи'ться
44596,imperfective,перевоплоти'ть
44597,imperfective,перевоплоти'ться
44598,perfective,перевора'шивать
44599,imperfective,перевоспита'ться
44600,imperfective,перевы'брать
44603,imperfective,перевязаться
44604,perfective,перегла'живать
44605,imperfective,перегла'дить
44607,perfective,-
44608,imperfective,перегни'ть
44609,perfective,перегна'ивать
44612,imperfective,перегородѝться
44613,imperfective,перегореть
44615,imperfective,перегреть
44616,imperfective,перегреться
44618,imperfective,перегрузѝться
44620,imperfective,перегрунтова'ть
44621,imperfective,перегруппирова'ть
44622,imperfective,перегруппирова'ться
44623,imperfective,перегрызть
44624,perfective,-
44628,perfective,переделя'ть
44629,imperfective,переде́латься
44630,imperfective,передёрнуться
44631,imperfective,передержа̀ть
44636,imperfective,передове́рить
44638,imperfective,передумать
44640,imperfective,переесть
44642,imperfective,пережа'рить
44643,imperfective,пережа'риться
44644,perfective,пережа'ривать
44645,perfective,-
44646,both,
44649,imperfective,перезаложѝть
44650,imperfective,перезаключи'ть
44652,imperfective,перезвонить
44653,perfective,зимова'ть
44654,perfective,-
44655,imperfective,переизбра'ть
44657,imperfective,переиздать
44658,imperfective,переименовать
44661,imperfective,переиначить
44663,perfective,перекале́чивать
44664,imperfective,перекалить
44665,imperfective,переколо̀ть
44666,imperfective,перекормѝть
44669,imperfective,перекачать
44670,imperfective,перекосить
44671,imperfective,перекоситься
44673,both,
44674,imperfective,перекипеть
44675,perfective,-
44676,perfective,перекиса'ть
44678,imperfective,перекле'ить
44681,imperfective,перековать
44682,imperfective,перековырять
44683,both,
44684,imperfective,переколотѝть
44685,perfective,перекола'чивать
44686,perfective,перека'лывать
44688,imperfective,-
44689,imperfective,перекочевать
44690,imperfective,перекро'ить
44691,imperfective,перекрасить
44692,imperfective,перекраситься
44693,imperfective,перекрестить
44694,imperfective,перекреститься
44696,perfective,перекувыркивать
44697,perfective,перекувы'ркиваться
44698,imperfective,перекупить
44699,perfective,-
44701,imperfective,перекурить
44702,imperfective,переломить
44703,imperfective,переломиться
44704,perfective,перелёживать
44705,perfective,-
44710,imperfective,перелицевать
44713,perfective,-
44714,imperfective,перелопатить
44715,perfective,перемазываться
44716,imperfective,переманить
44718,imperfective,перемота'ть
44719,imperfective,перемахнуть
44721,imperfective,перемежевать
44723,imperfective,переменить
44724,imperfective,"-;перемениться"
44725,imperfective,переме́рять
44726,perfective,переме́рять
44727,perfective,перемечать
44728,imperfective,"переметнуть;переметать"
44729,imperfective,переметить
44730,imperfective,перемно'жить
44731,imperfective,перемочь
44732,imperfective,перемо̀чься
44734,perfective,перемолачивать
